Name,Univeristy ,Major ,Field after Graduation ,Year of Graduation ,Notebale Contributions and Milestones,Hometown
Michael Jordan,UNC Chapel Hill,Geography ,NBA,1986,Widely considered one of the greatest basketball players of all time led the Chicago Bulls to six NBA championships; global ambassador for basketball. 6× NBA Finals MVP 5× NBA MVP  14× NBA All-Star  2× Olympic Gold Medalist Naismith Memorial Basketball Hall of Fame Inductee (2009). Principal Owner and Chairman of the Charlotte Hornets (NBA),Brookyln  New York 
Grant Hill,Duke University,History ,NBA,1994,"Seven-time NBA All-Star; inducted into the Naismith Memorial Basketball Hall of Fame (2018) NCAA National Champion (1991  1992) with Duke
NBA Co-Rookie of the Year (1995)
Hall of Fame Induction (2018) Vice Chair of the Board  Atlanta Hawks (NBA)Co-founded Hill Ventures (real estate) established the Grant Hill & Tamia Foundation for philanthropic outreach",Reston  Virginia
Dr. Valerie Shears Ashby,UNC chapel hill ,Chemistry,Polymer Chemistry ,1988,Former Professor and Chair of the UNC Department of Chemistry (first African American woman to chair this department) Research on polymer synthesis for biomedical applications  strong advocate for STEM diversity. Later served as Dean of Trinity College of Arts & Sciences at Duke and is now President of the University of Maryland  Baltimore County (UMBC).,Baltimore Maryland 
Dr. Kizzmeka S. Corbett ,UNC chapel hill ,Immunology ,Viral Pathogenesis,2014,"Ph.D. in Microbiology and Immunology from UNC (2014)
Notable Work: Played a pivotal role in the development of mRNA-based COVID-19 vaccines at the NIH. Recognized as a leading voice for vaccine science and minority representation in STEM.",Hurdle Mills  North Carolina 
Dr. Tonia Poteat,UNC chapel hill,PHD in Population  Family & Reproductive Health,Social Medicine ,2012,HIV/AIDS Research & LGBTQ+ Health Leading expert on HIV prevention in transgender communities advocates for health equity,
Dr. Keisha L. Gibson,UNC chapel hill,MD/MPH,Pediatric Nephrology,2002,Chief of Pediatric Nephrology at UNC focuses on kidney disease disparities in children,
Dr. Cedric M. Bright,UNC chapel hill,MD,Medicine and Academic Administration  ,1990,chief of Pediatric Nephrology at UNC focuses on kidney disease disparities in children,
Dr. Ebony Boulware ,Duke Univeristy ,MD,Health Services Research ,1995,Leading expert on chronic kidney disease and health disparities. Former Vice Dean for Translational Science in the Duke University School of Medicine. Widely recognized for community-engaged research and leadership in academic medicine.,
Dr. Damon Tweedy ,Duke Univeristy ,MD,Psychiatry ,2000,Psychiatrist and author of Black Man in a White Coat exploring race and bias in medicine. Serves on the faculty at Duke and is known for advocating equity in healthcare.,
Dr. Kafui Dzirasa,Duke Univeristy ,Md/PHD,Psychiatry,2009,First African American to complete an M.D./Ph.D. at Duke in this field. Pioneering research on brain circuitry underlying mental illness. Combines engineering neuroscience  and psychiatry to advance treatments for psychiatric disorders.,
Dr. Ryan E. Emanuel,Duke Univeristy ,Enviromental Sciences ,Hydrology,1999,Prominent environmental scientist focusing on hydrologic systems  climate change  and environmental justice (especially regarding Indigenous communities). Serves as a professor and advocate for policies that protect water resources and vulnerable populations.,
Dr. Howard Conyers ,Duke Univeristy ,PHD in Mechanical Engineering,Aerospace Engineering,2009,NASA rocket scientist (Stennis Space Center) specializing in rocket propulsion testing. Known for mentorship in STEM fields and recognized for preserving African American culinary heritage (documenting Southern barbecue traditions).,
Kwame Holman,Duke Univeristy ,Computer Science,Software Engineering,2003,"Worked as an engineer and product manager at Cisco Systems and later at VMware  focusing on enterprise networking solutions and virtualization platforms.
Rose to Director-level roles overseeing product lines worth hundreds of millions in annual revenue. Notable Contributions: Led teams building next-gen cloud networking software. Known for championing diversity and mentorship within large tech orgs (though not widely covered in mainstream media).",
Adrian B. Johnson,Duke University ,Electrical and Computer Engineering ,Cloud & Infrastructure Software Engineering,2010,Began as a software engineer at AWS (Amazon Web Services)  working on large-scale storage and compute services. Led teams optimizing serverless computing platforms  boosting performance for millions of customers worldwide. Active mentor for underrepresented groups in cloud engineering.,
Brandon Harris,Duke University ,Electrical and Computer Engineering ,Big tech Software Engineer,2010,"Security Engineer and Infrastructure Lead at Amazon Web Services (AWS).
Later joined Stripe to spearhead payment security and anti-fraud technologies. Key developer of payment security protocols that handle billions of transactions.
Active in open-source security projects.
Mentors Black in Tech interns and new grads especially from HBCUs.",
Paula Forbes,Duke University ,Computer Science,Big Tech Software Engineer,2005, Joined Google’s core engineering team contributing to Google Cloud and internal infrastructure tools. Later became an Engineering Manager at Google  overseeing high-availability systems. Advocates for women of color in software engineering through internal resource groups and external nonprofit collaborations.,
Jason S. Moorer,Duke Univeristy ,Electrical and Computer Engineering,Data Science & AI,1998,Early career at IBM focusing on enterprise AI solutions. Transitioned to Meta (Facebook) where he led teams refining AI-driven content ranking and detection systems. Holds multiple patents in machine learning infrastructure and data pipeline optimization.,
James C. Bolton,UNC Chapel Hill,Computer Science,Big tech Software Engineer,2006,Joined Microsoft after graduation working on Azure infrastructure services.  Promoted to Senior Software Engineer leading cloud reliability engineering. Mentors younger Black engineers through Microsofts internal diversity ERG (employee resource group).,
Dr. Julia R Nichols,UNC Chapel Hill,Inofrmation Science,Data Analytics and Information tech,2015,Specialized in big data curation and analytics. Post-Ph.D.  led data governance projects at a Fortune 100 tech firm. Active in AI ethics discussions focusing on inclusive data practices.,
